codfao;Ltclass;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
RJC;80;3173.205831;6431.311825;3209.789975;8897.960539;3450.895694;4798.99635;5185.239095;6102.591406;3843.760437;3888.307477;4580.889653;5606.452096;4866.32694;5002.04459;4192.586134
RJC;81;3900.480681;3180.903674;2281.090762;4334.932239;3042.064668;2989.264886;4301.238197;6221.126723;4790.473235;4579.487935;7284.500924;4054.742462;6165.690433;4045.536731;1612.103602
RJC;82;3287.895196;6397.269163;1875.132094;5738.702522;1835.68084;2760.323298;2617.424193;4247.900798;2446.950707;4084.669775;2238.657298;2214.478526;7462.372179;16937.46195;4643.274101
RJC;83;2987.651691;2192.262623;2583.745076;5595.883737;2085.34173;3024.016361;2339.15933;2900.683232;3307.674819;2783.961171;2690.18278;2539.73118;4283.752609;2648.489243;6070.108582
RJC;84;1699.870665;4010.878386;1509.032995;3440.397608;1551.99595;2020.79817;2101.44083;3436.971198;1130.091555;3547.743795;3375.764766;2218.476526;6443.446534;2283.768684;6312.38835
RJC;85;1143.208247;2297.443762;1950.464293;2620.512214;1532.955417;2019.677084;1677.256411;2693.476312;1681.646397;1951.866365;2154.716751;3031.932655;5824.432713;3610.894131;3245.120244
RJC;86;871.8476296;1064.514183;1602.632045;2168.992258;1517.804507;1456.914355;1795.593266;1114.666987;3113.378294;1875.845466;2886.653735;2796.639441;3736.405361;4025.335181;2645.379438
RJC;87;772.099969;1020.644379;1613.433947;1541.390685;1301.815724;1241.640268;1935.132972;927.5665954;1595.004186;2125.523733;1739.157425;1969.348648;2264.061365;2488.052571;2615.551455
RJC;88;757.158263;2116.351078;404.7803503;1444.562517;486.7320325;783.419885;1261.866055;872.4921685;2238.906903;5735.226276;1778.599722;2377.025783;3087.739194;1363.551716;3399.329295
RJC;89;315.1852116;485.2771852;319.3648893;1977.883432;768.8020918;1022.076552;1826.236183;889.8362452;1102.136982;0;1753.462734;910.5187905;3078.696796;1537.488684;6022.851528
RJC;90;571.604124;486.543138;525.5283118;1489.555407;413.9297381;949.0753528;860.6859494;2034.439711;326.570056;3419.199307;1824.874204;2044.578284;3141.081955;1454.145369;1384.130643
RJC;91;0;41.430004;199.633082;330.911375;275.646668;875.279367;775.9336009;416.1640091;0;566.8435825;501.6721173;382.96092;469.3857264;881.4315357;1463.631831
RJC;92;185.554139;97.217225;348.4555413;867.6281724;1451.372456;255.075947;378.100804;1647.168055;80.708284;100.896826;0;1454.205964;504.9551211;1863.651201;0
RJC;93;386.049985;251.0910095;85.271215;277.9217505;172.3621556;235.878976;529.577602;743.686383;40.354142;347.024493;130.7308413;458.152708;959.088065;905.935736;404.7660722
RJC;94;0;0;114.361867;141.4935064;121.0713614;364.0081495;45.670732;418.7203131;400.5692656;0;1244.925592;511.917058;0;613.06305;2882.606693
RJC;95;0;230.1698458;114.361867;51.396476;18.925014;137.622205;0;386.294071;148.604131;422.951612;526.664747;842.158167;0;198.148901;809.5321444
RJC;96;185.554139;0;17.47703926;54.2086522;50.449996;34.162678;45.670732;601.814236;2274.758408;290.679937;327.149674;603.745741;777.2154112;189.447569;1011.628926
RJC;97;0;209.248682;0;0;0;17.081339;112.175646;0;0;87.0492085;28.68599531;0;783.350778;518.339266;202.3830361
RJC;98;0;0;28.423738;51.396476;307.3398544;190.626277;355.049959;0;0;246.127667;696.585828;0;0;0;0
RJC;99;0;0;0;379.309069;0;17.081339;33.252457;424.022437;0;0;124.752431;182.666658;0;3862.366546;0
RJC;100;0;0;0;0;0;0;205.103063;162.043455;0;0;0;91.828683;42.06854739;0;0
RJC;101;0;0;0;0;0;0;47.00372936;0;108.249989;0;0;60.09100595;270.835319;0;0
RJC;102;0;0;0;0;0;0;30.23698561;0;0;0;0;0;0;0;0
RJC;103;0;0;0;0;0;170.457814;0;0;108.249989;0;0;91.828683;0;257.030166;0
RJC;104;0;0;0;0;0;0;0;0;0;0;1053.329495;329.2504;0;0;0
RJC;105;0;0;0;0;0;0;0;0;0;0;0;0;0;518.339266;0
RJC;106;0;0;0;0;0;0;47.00372936;0;82.69683317;0;0;0;0;0;0
RJC;107;0;0;0;0;0;0;0;0;0;0;102.044846;0;0;0;0
RJC;108;0;0;0;0;0;0;30.23698561;0;0;87.0492085;0;0;0;0;0
RJC;109;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RJC;110;0;0;0;0;0;0;0;0;0;87.0492085;0;0;0;0;0
